classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
N,se4pa11,0.441187280701315,4.58315125030347,14.3316338917213,6.42748091603053,6.2230303030303,6.53204804825309,deuxieme
N,se4xx02,0.363506410369604,5.69726775956284,20.7885245901639,6.36756756756757,6.12953367875648,5.75245366017082,deuxieme
N,se5eu92,0.398612121246328,5.61949877750611,19.3777506112469,6.41390205371248,6.08567208271787,6.33748204723053,deuxieme
X,se5fs05,0.357365030295616,5.47087378640777,18.7184466019417,6.43783783783784,6.3248730964467,5.08736403544509,deuxieme
X,se5fs07,0.261553070863256,7.87784679089027,35.0828157349897,6.92013888888889,6.94080996884735,5.58018807247384,deuxieme
X,se5fs08,0.363647024808802,6.60975609756098,30.530487804878,6.48427672955975,6.33333333333333,5.01179470808015,deuxieme
X,se5mg03,0.213283370105138,10.5211665098777,50.7206020696143,6.77647058823529,6.81951219512195,5.08678245403716,deuxieme
X,se5mg04,0.281949285035317,9.43453070683662,39.539976825029,6.78260869565217,6.44692737430168,5.10582908144881,deuxieme
X,se5mg06,0.258747757557195,6.90694006309148,34.4463722397476,6.71724137931034,6.58974358974359,5.10873531717511,deuxieme
X,se5mg07,0.292278916453854,6.80916030534351,28.2442748091603,6.78823529411765,5.65168539325843,4.23596837680713,deuxieme
X,se5mg10,0.387030031270657,5.2568058076225,19.55444646098,6.51908396946565,6.38947368421053,5.50161146023132,deuxieme
N,se5mg11,0.441544507186609,5.39491398653702,17.9985041136874,6.30801687763713,5.49800796812749,5.29017879776882,deuxieme
X,se5mg12,0.405789906204787,6.65079365079365,21.9931972789116,6.59375,6.58974358974359,5.41405001188514,deuxieme
X,se5mg13,0.315444721806929,6.93393057110862,28.2318029115342,6.70982142857143,6.40562248995984,5.30968438226171,deuxieme
N,se5mg14,0.422211962202912,5.01422319474836,17.1542669584245,6.56626506024096,6.06737588652482,5.44554364520705,deuxieme
X,se5mg15,0.271016419012319,8.59303482587065,35.2358208955224,6.47169811320755,6.34306569343066,5.44993506942075,deuxieme
N,se5mg16,0.336202455317972,6.12661737523105,26.7236598890943,6.5724907063197,6.34113712374582,5.53082489335761,deuxieme
X,se5mg17,0.287090677829342,8.03448275862069,29.9334975369458,6.69417475728155,6.79574468085106,5.25336289223022,deuxieme
X,se5mg18,0.346328304711739,5.56644518272425,20.6162790697674,6.43820224719101,6.29166666666667,5.06077121664109,deuxieme
X,se5mg22,0.315185020884663,6.29859484777518,26.9473067915691,6.78333333333333,6.7859778597786,5.4127900726948,deuxieme
X,se5mg23,0.376372440279893,6.00153491941673,20.6224098234843,6.72492836676218,6.93417721518987,5.7944329317655,deuxieme
